Supplier_ID,Supplier_Name,Country,Contact_Person,Email,Preferred,Rating
SPL-0001,Supplier_1,Mexico,Contact_1,supplier_1@supplier.com,No,3
SPL-0002,Supplier_2,China,Contact_2,supplier_2@supplier.com,Yes,5
SPL-0003,Supplier_3,Mexico,Contact_3,supplier_3@supplier.com,Yes,3
SPL-0004,Supplier_4,India,Contact_4,supplier_4@supplier.com,Yes,4
SPL-0005,Supplier_5,India,Contact_5,supplier_5@supplier.com,No,4
SPL-0006,Supplier_6,Germany,Contact_6,supplier_6@supplier.com,No,1
SPL-0007,Supplier_7,Canada,Contact_7,supplier_7@supplier.com,Yes,3
SPL-0008,Supplier_8,India,Contact_8,supplier_8@supplier.com,Yes,2
SPL-0009,Supplier_9,Germany,Contact_9,supplier_9@supplier.com,Yes,4
SPL-0010,Supplier_10,China,Contact_10,supplier_10@supplier.com,Yes,3
SPL-0011,Supplier_11,India,Contact_11,supplier_11@supplier.com,No,2
SPL-0012,Supplier_12,Germany,Contact_12,supplier_12@supplier.com,Yes,2
SPL-0013,Supplier_13,China,Contact_13,supplier_13@supplier.com,No,1
SPL-0014,Supplier_14,Canada,Contact_14,supplier_14@supplier.com,Yes,3
SPL-0015,Supplier_15,USA,Contact_15,supplier_15@supplier.com,No,5
SPL-0016,Supplier_16,Canada,Contact_16,supplier_16@supplier.com,Yes,4
SPL-0017,Supplier_17,USA,Contact_17,supplier_17@supplier.com,Yes,3
SPL-0018,Supplier_18,Canada,Contact_18,supplier_18@supplier.com,No,1
SPL-0019,Supplier_19,China,Contact_19,supplier_19@supplier.com,Yes,2
SPL-0020,Supplier_20,Germany,Contact_20,supplier_20@supplier.com,Yes,5
SPL-0021,Supplier_21,Germany,Contact_21,supplier_21@supplier.com,No,1
SPL-0022,Supplier_22,China,Contact_22,supplier_22@supplier.com,Yes,1
SPL-0023,Supplier_23,USA,Contact_23,supplier_23@supplier.com,Yes,2
SPL-0024,Supplier_24,Germany,Contact_24,supplier_24@supplier.com,Yes,3
SPL-0025,Supplier_25,Canada,Contact_25,supplier_25@supplier.com,No,1
SPL-0026,Supplier_26,USA,Contact_26,supplier_26@supplier.com,Yes,5
SPL-0027,Supplier_27,USA,Contact_27,supplier_27@supplier.com,No,5
SPL-0028,Supplier_28,USA,Contact_28,supplier_28@supplier.com,No,4
SPL-0029,Supplier_29,China,Contact_29,supplier_29@supplier.com,No,1
SPL-0030,Supplier_30,India,Contact_30,supplier_30@supplier.com,No,3
SPL-0031,Supplier_31,Germany,Contact_31,supplier_31@supplier.com,Yes,1
SPL-0032,Supplier_32,China,Contact_32,supplier_32@supplier.com,Yes,5
SPL-0033,Supplier_33,Mexico,Contact_33,supplier_33@supplier.com,No,2
SPL-0034,Supplier_34,USA,Contact_34,supplier_34@supplier.com,No,1
SPL-0035,Supplier_35,Mexico,Contact_35,supplier_35@supplier.com,Yes,4
SPL-0036,Supplier_36,India,Contact_36,supplier_36@supplier.com,Yes,4
SPL-0037,Supplier_37,India,Contact_37,supplier_37@supplier.com,Yes,1
SPL-0038,Supplier_38,India,Contact_38,supplier_38@supplier.com,No,4
SPL-0039,Supplier_39,Germany,Contact_39,supplier_39@supplier.com,Yes,1
SPL-0040,Supplier_40,Canada,Contact_40,supplier_40@supplier.com,Yes,5
SPL-0041,Supplier_41,Germany,Contact_41,supplier_41@supplier.com,Yes,2
SPL-0042,Supplier_42,Canada,Contact_42,supplier_42@supplier.com,Yes,3
SPL-0043,Supplier_43,USA,Contact_43,supplier_43@supplier.com,Yes,2
SPL-0044,Supplier_44,Canada,Contact_44,supplier_44@supplier.com,Yes,3
SPL-0045,Supplier_45,Germany,Contact_45,supplier_45@supplier.com,No,5
SPL-0046,Supplier_46,USA,Contact_46,supplier_46@supplier.com,No,1
SPL-0047,Supplier_47,China,Contact_47,supplier_47@supplier.com,Yes,4
SPL-0048,Supplier_48,China,Contact_48,supplier_48@supplier.com,Yes,1
SPL-0049,Supplier_49,USA,Contact_49,supplier_49@supplier.com,No,2
SPL-0050,Supplier_50,India,Contact_50,supplier_50@supplier.com,Yes,4
SPL-0051,Supplier_51,Mexico,Contact_51,supplier_51@supplier.com,No,1
SPL-0052,Supplier_52,USA,Contact_52,supplier_52@supplier.com,Yes,3
SPL-0053,Supplier_53,Canada,Contact_53,supplier_53@supplier.com,Yes,1
SPL-0054,Supplier_54,China,Contact_54,supplier_54@supplier.com,No,4
SPL-0055,Supplier_55,India,Contact_55,supplier_55@supplier.com,No,3
SPL-0056,Supplier_56,China,Contact_56,supplier_56@supplier.com,No,5
SPL-0057,Supplier_57,India,Contact_57,supplier_57@supplier.com,Yes,3
SPL-0058,Supplier_58,Mexico,Contact_58,supplier_58@supplier.com,No,1
SPL-0059,Supplier_59,USA,Contact_59,supplier_59@supplier.com,No,2
SPL-0060,Supplier_60,USA,Contact_60,supplier_60@supplier.com,No,2
SPL-0061,Supplier_61,India,Contact_61,supplier_61@supplier.com,Yes,4
SPL-0062,Supplier_62,Canada,Contact_62,supplier_62@supplier.com,Yes,2
SPL-0063,Supplier_63,Canada,Contact_63,supplier_63@supplier.com,Yes,1
SPL-0064,Supplier_64,Mexico,Contact_64,supplier_64@supplier.com,No,2
SPL-0065,Supplier_65,Mexico,Contact_65,supplier_65@supplier.com,Yes,3
SPL-0066,Supplier_66,Canada,Contact_66,supplier_66@supplier.com,Yes,2
SPL-0067,Supplier_67,Canada,Contact_67,supplier_67@supplier.com,No,4
SPL-0068,Supplier_68,Germany,Contact_68,supplier_68@supplier.com,Yes,4
SPL-0069,Supplier_69,Mexico,Contact_69,supplier_69@supplier.com,No,3
SPL-0070,Supplier_70,Mexico,Contact_70,supplier_70@supplier.com,No,2
SPL-0071,Supplier_71,Germany,Contact_71,supplier_71@supplier.com,Yes,5
SPL-0072,Supplier_72,Germany,Contact_72,supplier_72@supplier.com,Yes,3
SPL-0073,Supplier_73,China,Contact_73,supplier_73@supplier.com,Yes,2
SPL-0074,Supplier_74,Mexico,Contact_74,supplier_74@supplier.com,Yes,1
SPL-0075,Supplier_75,Canada,Contact_75,supplier_75@supplier.com,Yes,3
SPL-0076,Supplier_76,USA,Contact_76,supplier_76@supplier.com,No,1
SPL-0077,Supplier_77,China,Contact_77,supplier_77@supplier.com,Yes,3
SPL-0078,Supplier_78,China,Contact_78,supplier_78@supplier.com,No,1
SPL-0079,Supplier_79,Germany,Contact_79,supplier_79@supplier.com,Yes,3
SPL-0080,Supplier_80,Mexico,Contact_80,supplier_80@supplier.com,No,4
SPL-0081,Supplier_81,India,Contact_81,supplier_81@supplier.com,No,5
SPL-0082,Supplier_82,Germany,Contact_82,supplier_82@supplier.com,Yes,2
SPL-0083,Supplier_83,India,Contact_83,supplier_83@supplier.com,No,4
SPL-0084,Supplier_84,China,Contact_84,supplier_84@supplier.com,No,3
SPL-0085,Supplier_85,India,Contact_85,supplier_85@supplier.com,Yes,2
SPL-0086,Supplier_86,Canada,Contact_86,supplier_86@supplier.com,Yes,4
SPL-0087,Supplier_87,Mexico,Contact_87,supplier_87@supplier.com,Yes,2
SPL-0088,Supplier_88,Germany,Contact_88,supplier_88@supplier.com,Yes,5
SPL-0089,Supplier_89,China,Contact_89,supplier_89@supplier.com,Yes,1
SPL-0090,Supplier_90,Mexico,Contact_90,supplier_90@supplier.com,Yes,2
SPL-0091,Supplier_91,India,Contact_91,supplier_91@supplier.com,Yes,1
SPL-0092,Supplier_92,China,Contact_92,supplier_92@supplier.com,Yes,5
SPL-0093,Supplier_93,India,Contact_93,supplier_93@supplier.com,No,2
SPL-0094,Supplier_94,China,Contact_94,supplier_94@supplier.com,Yes,5
SPL-0095,Supplier_95,Canada,Contact_95,supplier_95@supplier.com,No,2
SPL-0096,Supplier_96,India,Contact_96,supplier_96@supplier.com,Yes,2
SPL-0097,Supplier_97,Germany,Contact_97,supplier_97@supplier.com,Yes,2
SPL-0098,Supplier_98,India,Contact_98,supplier_98@supplier.com,No,3
SPL-0099,Supplier_99,India,Contact_99,supplier_99@supplier.com,Yes,2
SPL-0100,Supplier_100,Canada,Contact_100,supplier_100@supplier.com,No,2
